job_title_short,job_posted_date,job_country,job_skills,salary_year_avg
Data Scientist,2023-07-05 18:05:37,United States,"['python', 'r', 'excel']",80000.0
Senior Data Analyst,2023-12-23 07:01:36,United States,['excel'],78500.0
Data Scientist,2023-08-24 09:04:01,United States,"['python', 'sql', 'snowflake', 'tableau', 'gitlab']",179500.0
Data Analyst,2023-02-17 19:02:28,United States,"['sql', 'r', 'python', 'looker', 'tableau']",124000.0
Data Engineer,2023-08-02 08:10:40,United States,"['sql', 'python', 'java', 'scala', 'snowflake', 'spark', 'airflow', 'sap']",90000.0
Data Scientist,2023-05-15 07:03:12,United States,"['python', 'r', 'sql', 'spring']",125000.0
Data Analyst,2023-01-13 12:02:59,United States,"['sas', 'sas', 'excel', 'powerpoint', 'tableau']",150000.0
Data Engineer,2023-04-25 10:07:14,United States,['excel'],375000.0
Data Analyst,2023-01-02 08:28:51,Netherlands,"['sql', 'python', 'r', 'vba', 'pyspark', 'hadoop', 'airflow', 'looker', 'tableau', 'excel']",111202.0
Data Engineer,2023-09-27 08:05:01,United States,"['sql', 'python', 'azure', 'pyspark', 'spark', 'git']",125000.0
Data Engineer,2023-01-06 19:08:29,United States,"['python', 'r', 't-sql', 'sql', 'go', 'oracle', 'jupyter', 'jquery', 'sharepoint', 'jenkins', 'docker', 'confluence']",127500.0
Data Scientist,2023-03-09 19:03:17,United States,"['python', 'sas', 'sas', 'r', 'power bi', 'tableau', 'git']",131867.0
Data Analyst,2023-03-22 11:14:06,Malta,"['sql', 'python', 'sql server', 'azure', 'databricks', 'spark', 'power bi']",163782.0
Senior Data Scientist,2023-07-17 08:23:36,Canada,"['sql', 'python', 'r', 'scala']",231000.0
Senior Data Analyst,2023-05-18 07:17:54,Sudan,"['c', 'tableau']",93000.0
Data Scientist,2023-07-12 15:04:15,United States,"['r', 'python']",101116.0
Business Analyst,2023-11-20 21:01:50,United States,"['vba', 'r', 'tableau', 'power bi']",91100.0
Machine Learning Engineer,2023-06-28 21:11:38,Canada,"['sql', 'sql server']",99150.0
Data Scientist,2023-08-21 13:07:04,United States,"['sql', 'r', 'python', 'c', 'javascript', 'scala', 'html', 'matlab', 'java', 'shell', 'sas', 'sas', 'spark', 'hadoop']",176273.5
Data Analyst,2023-08-17 18:40:55,United States,"['r', 'sas', 'sas', 'python', 'sql', 'sql server', 'oracle', 'tableau', 'alteryx']",81450.0
Data Engineer,2023-04-22 07:07:13,United States,"['sql', 'aws', 'ssis']",109100.0
Senior Data Scientist,2023-10-31 15:02:27,United States,['sql'],159264.0
Data Scientist,2023-05-02 06:32:42,Austria,"['sas', 'sas', 'r', 'python', 'java']",87499.5
